chamber,state,party,incumbent,termstart,age,bioguide
house,TX,D,Yes,1961,48.9,D000467
house,WI,D,Yes,1961,48.9,R000165
house,GA,D,Yes,1961,48.7,B000561
house,NY,D,Yes,1961,48.6,S000057
house,AL,D,Yes,1961,48.6,J000248
house,NJ,R,Yes,1961,48.5,C000019
house,KS,R,No,1961,48.5,S000388
house,NE,R,No,1961,48.4,B000310
house,NE,R,Yes,1961,48.3,C000991
house,NH,R,Yes,1961,48.2,B000222
house,KY,D,Yes,1961,48.2,P000230
house,AL,D,Yes,1961,48.2,R000314
house,WI,D,Yes,1961,48.1,Z000001
house,MA,D,Yes,1961,48.1,O000098
house,MN,R,Yes,1961,48.0,L000069
house,MO,D,Yes,1961,48.0,K000013
house,TX,D,Yes,1961,47.9,I000007
house,RI,D,Yes,1961,47.8,F000233
house,TX,D,No,1961,47.8,R000312
house,OH,D,Yes,1961,47.7,V000047
house,NC,D,Yes,1961,47.7,F000319
house,NY,D,Yes,1961,47.6,H000753
house,WI,R,Yes,1961,47.6,B001216
house,TX,D,Yes,1961,47.5,B000296
house,MI,R,Yes,1961,47.5,F000260
house,VT,R,No,1961,47.4,S000776
house,GA,D,No,1961,47.4,S000860
house,WI,R,No,1961,47.2,S000108
house,NY,R,Yes,1961,47.1,H000085
house,NY,R,Yes,1961,47.1,F000137
house,AL,D,Yes,1961,47.0,E000120
house,NJ,D,Yes,1961,46.9,A000054
house,LA,D,Yes,1961,46.9,B000594
house,OR,D,Yes,1961,46.8,U000004
house,NY,R,Yes,1961,46.8,M000762
house,WA,R,Yes,1961,46.6,M000273
house,CA,D,Yes,1961,46.5,C000596
house,MD,D,Yes,1961,46.5,L000081
house,CA,R,No,1961,46.3,B000330
house,WV,D,Yes,1961,46.3,H000438
house,CA,D,Yes,1961,46.2,H000013
house,GA,D,Yes,1961,46.2,F000229
house,MI,D,Yes,1961,46.0,L000252
house,TN,D,Yes,1961,45.9,E000266
house,WV,D,Yes,1961,45.8,S000473
house,CA,D,Yes,1961,45.7,M001035
house,CA,R,Yes,1961,45.7,H000802
house,SC,D,Yes,1961,45.7,H000471
house,NC,D,Yes,1961,45.6,W000410
house,NY,R,Yes,1961,45.6,B000190
house,CA,R,Yes,1961,45.5,B000092
house,CO,R,No,1961,45.5,D000409
house,OK,D,Yes,1961,45.5,J000057
house,TX,D,Yes,1961,45.4,C000228
house,CA,R,Yes,1961,45.4,L000344
house,NM,D,Yes,1961,45.3,M000876
house,NY,D,Yes,1961,45.3,D000523
house,NY,R,Yes,1961,45.2,R000357
house,MA,R,Yes,1961,45.1,K000053
house,IL,R,Yes,1961,45.1,C000629
house,OH,R,Yes,1961,45.0,D000279
house,PA,D,Yes,1961,45.0,C000431
house,NJ,R,Yes,1961,45.0,F000371
house,NJ,D,No,1961,44.9,J000108
house,AR,D,Yes,1961,44.9,A000105
house,CA,R,Yes,1961,44.9,G000512
house,OH,R,Yes,1961,44.9,A000229
house,LA,D,Yes,1961,44.8,T000218
house,CA,R,Yes,1961,44.7,W000610
house,SC,D,Yes,1961,44.7,D000434
house,TX,D,No,1961,44.7,G000272
house,MO,D,Yes,1961,44.6,B000605
house,GA,D,No,1961,44.6,H000010
house,GA,D,No,1961,44.3,D000122
house,AZ,R,Yes,1961,44.3,R000188
house,NY,D,Yes,1961,44.3,S000997
house,CA,D,Yes,1961,44.2,M000719
house,IL,D,Yes,1961,44.2,M000020
house,TX,D,Yes,1961,44.1,Y000043
house,MT,D,No,1961,44.0,O000083
house,FL,D,Yes,1961,43.8,F000041
house,MA,R,Yes,1961,43.7,B000239
house,MA,D,Yes,1961,43.6,M000005
house,CA,R,Yes,1961,43.6,M000070
house,UT,D,Yes,1961,43.5,K000199
house,PA,R,No,1961,43.5,S000193
house,MI,R,Yes,1961,43.5,C000275
house,IN,R,No,1961,43.0,R000464
house,CA,D,Yes,1961,42.9,M000436
house,MS,D,Yes,1961,42.9,S000533
house,MI,R,Yes,1961,42.8,C000263
house,TN,D,Yes,1961,42.8,B000223
house,NY,R,Yes,1961,42.7,D000266
house,TX,R,Yes,1961,42.6,A000106
house,NJ,D,Yes,1961,42.4,T000200
house,LA,D,No,1961,42.3,W000018
house,CT,D,Yes,1961,42.3,D000001
house,MS,D,Yes,1961,42.1,W000517
house,TX,D,Yes,1961,42.1,K000177
house,VA,D,Yes,1961,41.9,D000474
house,OK,D,Yes,1961,41.7,E000054
house,NE,R,Yes,1961,41.7,W000228
house,NY,D,No,1961,41.7,C000143
house,TX,D,No,1961,41.7,P000569
house,IA,R,Yes,1961,41.7,K000351
house,IL,D,Yes,1961,41.6,P000559
house,NM,D,Yes,1961,41.4,M000990
house,VA,D,Yes,1961,41.4,J000098
house,CT,D,Yes,1961,41.2,G000151
house,VA,R,Yes,1961,41.2,B000967
house,AZ,D,Yes,1961,40.9,U000002
house,OH,R,Yes,1961,40.8,L000116
house,AL,D,Yes,1961,40.8,H000904
house,IA,D,Yes,1961,40.8,S000596
house,IA,R,No,1961,40.8,B000867
house,OH,D,Yes,1961,40.6,C000725
house,KY,D,Yes,1961,40.6,B001090
house,NY,D,Yes,1961,40.5,G000175
house,IN,D,Yes,1961,40.3,R000467
house,CA,D,No,1961,40.2,C000780
house,OH,R,No,1961,40.0,H000281
house,ME,R,No,1961,39.9,T000411
house,AL,D,Yes,1961,39.9,S000232
house,NJ,D,Yes,1961,39.8,G000016
house,CT,R,No,1961,39.7,S000395
house,NC,D,No,1961,39.7,H000479
house,IN,R,No,1961,39.7,B000969
house,TX,D,Yes,1961,39.6,R000547
house,FL,D,Yes,1961,39.6,R000401
house,IL,R,No,1961,39.5,F000123
house,OH,R,No,1961,39.4,C000409
house,MA,R,No,1961,39.4,M001009
house,NY,D,No,1961,39.3,P000348
house,MA,R,Yes,1961,39.2,C000709
house,NY,R,Yes,1961,39.1,L000326
house,IL,R,No,1961,38.9,A000195
house,KS,R,No,1961,38.9,M000608
house,MI,R,Yes,1961,38.7,B000890
house,AZ,D,No,1961,38.6,U000001
house,NY,D,No,1961,38.5,R000562
house,MI,R,No,1961,38.5,H000306
house,MN,R,No,1961,38.5,M000010
house,MD,R,No,1961,38.4,M000241
house,FL,R,Yes,1961,38.4,C000869
house,MN,D,Yes,1961,38.4,K000014
house,WI,R,Yes,1961,38.3,L000024
house,MI,D,Yes,1961,38.1,D000344
house,TX,D,Yes,1961,38.0,B000880
house,TX,D,Yes,1961,38.0,W000763
house,OH,D,Yes,1961,38.0,A000222
house,IL,R,Yes,1961,37.8,M000692
house,PA,D,Yes,1961,37.7,M000930
house,WV,R,Yes,1961,37.7,M000892
house,NY,D,No,1961,37.6,R000442
house,ME,R,No,1961,37.6,G000069
house,KS,R,No,1961,37.5,D000401
house,MN,R,Yes,1961,37.3,Q000010
house,VA,R,Yes,1961,37.2,P000401
house,MI,R,Yes,1961,37.2,G000465
house,MD,D,Yes,1961,37.1,B000813
house,WI,D,Yes,1961,36.9,K000020
house,NC,D,No,1961,36.8,K000318
house,HI,D,Yes,1961,36.3,I000025
house,IA,D,Yes,1961,36.3,C000540
house,IL,D,Yes,1961,36.1,G000400
house,MT,R,No,1961,35.9,B000241
house,NY,D,No,1961,35.8,A000052
house,MI,D,No,1961,35.6,N000019
house,MI,D,Yes,1961,35.2,O000055
house,NY,R,Yes,1961,34.8,G000282
house,PA,R,No,1961,34.6,S000159
house,KS,R,No,1961,34.6,E000148
house,MO,D,No,1961,34.5,I000001
house,MI,D,Yes,1961,34.5,D000355
